scrape_date,scrape_timestamp,dining_hall,campus,meal_period,item_name,serving_size,source_url,nutrition_link,calories_kcal,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,protein_g,is_vegetarian,is_vegan,is_high_protein,is_low_calorie,is_low_sodium
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,STUFFED GRAPE LEAVES,2 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=143233*2,146.0,6.2,0.9,0.0,0.0,696.8,,3.5,4.4,2.6,True,True,False,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,TZATZIKI SAUCE ( GYRO SAUCE),3 OZL,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=157204*3,65.0,4.6,2.2,0.1,10.2,355.7,,0.2,3.2,2.3,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,GENERAL TSO CHICKEN,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=111325*6,316.0,16.4,2.5,0.0,42.2,761.4,,0.5,18.7,16.4,False,False,False,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,JASMINE RICE,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=163022*4,210.0,0.0,0.0,0.0,0.0,446.2,,1.3,0.0,3.9,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,PEPPER STEAK,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019902*6,205.0,5.3,1.9,0.0,65.3,903.7,,1.3,4.3,28.2,True,True,True,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,SPRING EGG ROLL,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=150046*1,163.0,8.8,0.6,0.0,0.0,419.0,,1.2,3.6,2.4,True,False,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,VEGAN SZECHUAN BEAN CURD,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=195517*6,186.0,8.7,1.4,0.0,0.0,626.2,,1.7,2.3,18.1,True,True,False,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,BABY CORN,2 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130130*2,46.0,0.5,0.1,0.0,0.0,169.0,,1.1,1.7,1.5,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,CANNED BAMBOO SHOOTS,1 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130129*1,3.0,0.1,0.0,,0.0,0.0,,0.5,0.3,0.2,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,CHICKEN LEMONGRASS BROTH,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=111263*6,10.0,0.3,0.0,0.0,0.0,938.4,,0.1,0.0,1.2,False,False,False,True,False
